股票代码,股票简称,行业编码,一级门类,二级门类,上市交易所,公司全程,上市日期,省份,城市,法人,地址,网址,邮箱,电话,主营业务,经营范围
cn_603288,海天味业,C14,制造业,食品制造业,上海,佛山市海天调味食品股份有限公司,2014/2/11 0:00,广东,佛山市,庞康,广东省佛山市文沙路16号,www.haitian-food.com,OBD@haday.cn,0757-82836083,调味品的生产和销售。,生产经营调味品、豆制品、食品、饮料、包装材料；农副产品的加工；其他电信服务；货物或技术进出口；信息咨询服务；批发兼零售预包装食品。
cn_600905,三峡能源,D44,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,上海,中国三峡新能源(集团)股份有限公司,2021/6/10 0:00,北京,北京市,王武斌,北京市通州区贡院街1号院1号楼二层206-23室,www.ctgne.com,ctgr_ir@ctg.com.cn,010-58689199,风能、太阳能的开发、投资和运营。,风能、太阳能的开发、投资；清洁能源、水利、水电、电力、供水、清淤、滩涂围垦、环境工程、种植业、养殖业、旅游业的投资；投资咨询；资产托管、投资顾问；机械成套设备及配件的制造、销售；承包境内水利电力工程和国际招标工程；与上述业务相关的技术、信息咨询服务。（“1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益”；企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
cn_000425,徐工机械,C35,制造业,专用设备制造业,深圳,徐工集团工程机械股份有限公司,1996/8/28 0:00,江苏,徐州市,王民,江苏省徐州市经济技术开发区驮蓝山路26号,www.xcmg.com,zqb@xcmg.com,0516-87739667,工程机械、建筑工程机械及其配件。,工程机械及成套设备、专用汽车、建筑工程机械、物料搬运设备及配件、矿山机械、环卫机械、商用车、载货汽车、工程机械发动机、通用基础零部件、仪器、仪表、衡器制造、加工、销售、维修；环保工程施工；二手机械再制造、收购、销售、租赁。（具体经营范围以登记机关核准为准）
cn_603019,中科曙光,C39,制造业,计算机、通信和其他电子设备制造业,上海,曙光信息产业股份有限公司,2014/11/6 0:00,天津,天津市,历军,天津市华苑产业区（环外）海泰华科大街15号1-3层,www.sugon.com,investor@sugon.com,010-56308016,以IT核心设备研发、生产制造为基础，对外提供高端计算机、存储产品及云计算、大数据综合服务。,电子信息、软件技术开发、咨询、服务、转让、培训；计算机及外围设备、软件制造、批发兼零售；计算机系统集成；物业管理；货物及技术进出口；设备出租、场地出租；计算机及外围设备维修、租赁；建筑安装业；通信设备研发、生产、批发兼零售（以上经营范围涉及行业许可的凭许可证件，在有效期内经营，国家有专项专营规定的按规定办理）
cn_002142,宁波银行,J66,金融业,货币金融服务,深圳,宁波银行股份有限公司,2007/7/19 0:00,浙江,宁波市,陆华裕,浙江省宁波市鄞州区宁东路345号,www.nbcb.com.cn,dsh@nbcb.cn,0574-87050028,存款，贷款，办理国内结算，办理票据贴现，发行金融债券，代理发行、兑付债券，代理收付款、保险业务，保管箱服务。,（一）吸收公众存款；（二）发放短期、中期和长期贷款；（三）办理国内外结算；（四）办理票据承兑与贴现；（五）发行金融债券；（六）代理发行、代理兑付、承销政府债券；（七）买卖政府债券、金融债券；（八）从事同业拆借；（九）从事银行卡业务；（十）提供信用证服务及担保；（十一）代理收付款项及代理保险业务；（十二）提供保管箱服务；（十三）经中国银行业监督管理机构、中国人民银行和国家外汇管理机关批准的其他业务。
cn_600276,恒瑞医药,C27,制造业,医药制造业,上海,江苏恒瑞医药股份有限公司,2000/10/18 0:00,江苏,连云港市,孙飘扬,江苏省连云港市经济技术开发区黄河路38号,www.hrs.com.cn,ir@hengrui.com,0518-85469805,片剂、针剂、胶囊、粉针等制剂的开发、制造和销售。,片剂（含抗肿瘤药）、口服溶液剂、混悬剂、原料药、精神药品、软胶囊剂（含抗肿瘤药）、冻干粉针剂（含抗肿瘤药）、粉针剂（抗肿瘤药、头孢菌素类）、吸入粉雾剂、口服混悬剂、口服乳剂、大容量注射剂（含多层共挤输液袋、含抗肿瘤药）、小容量注射剂（含抗肿瘤药、含非最终灭菌），生物工程制品（聚乙二醇重组人粒细胞刺激因子注射液）、硬胶囊剂（含抗肿瘤药）、颗粒剂（抗肿瘤药）、粉雾剂、膜剂、凝胶剂、乳膏剂的制造；中药前处理及提取；医疗器械的研发、制造与销售；一般化工产品的销售；自营和代理各类商品及技术的进出口业务，但国家限定公司经营或禁止进出口的商品和技术除外。
cn_688981,中芯国际,C39,制造业,计算机、通信和其他电子设备制造业,上海,中芯国际集成电路制造有限公司,2020/7/16 0:00,上海,上海市,周子学,Cricket Square  Hutchins Drive P.O. Box 2681 Grand Cayman KY1-1111 Cayman Islands,www.smics.com,ir@smics.com,021-38610000,为客户提供0.35微米至14纳米多种技术节点、不同工艺平台的集成电路晶圆代工及配套服务。,123456
cn_688003,天准科技,C35,制造业,专用设备制造业,上海,苏州天准科技股份有限公司,2019/7/22 0:00,江苏,苏州市,徐一华,江苏省苏州高新区浔阳江路70号,www.tztek.com,ir@tztek.com,0512-62399021,以机器视觉为核心技术，专注服务于工业领域客户，主要产品为工业视觉装备。,研发、生产、销售：测量和检测设备、测量和检测系统、机器人与自动化装备、自动化立体仓库及仓储物流设备、大型自动化系统、激光技术及装备、光电传感器、计算机软硬件产品、信息技术与网络系统、光学产品、电子产品、机械产品，并提供以上产品的技术服务、技术咨询、租赁、附属产品的出售，自营和代理各类商品及技术的进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
cn_600031,三一重工,C35,制造业,专用设备制造业,上海,三一重工股份有限公司,2003/7/3 0:00,北京,北京市,梁稳根,北京市昌平区北清路8号6栋5楼,www.sanyhi.com,sanyir@sany.com.cn,010-60737888、0731-84031555,工程机械产品及配件的开发、生产和销售。,生产建筑工程机械、起重机械、停车库、通用设备及机电设备（其中特种设备制造须凭本企业行政许可）、金属制品、橡胶制品、电子产品、钢丝增强液压橡胶软管和软管组合件、客车（不含小轿车）和改装车；建筑工程机械、起重机械、停车库、通用设备及机电设备的销售与维修；金属制品、橡胶制品及电子产品、钢丝增强液压橡胶软管和软管组合件的销售；客车（不含小轿车）和改装车的销售（凭审批机关许可文件经营）；五金及法律法规允许的矿产品、金属材料的销售；农业机械销售；提供建筑工程机械租赁服务；经营商品和技术的进出口业务（国家法律法规禁止和限制的除外）；农业机械制造（限外埠生产）。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
cn_300015,爱尔眼科,Q83,卫生和社会工作,卫生,深圳,爱尔眼科医院集团股份有限公司,2009/10/30 0:00,湖南,长沙市,陈邦,湖南省长沙市天心区芙蓉中路二段198号新世纪大厦3楼,www.aierchina.com,zhengquanbu@yeah.net,0731-82570739,向患者提供各种眼科疾病的诊断、治疗及医学验光配镜等眼科医疗服务。,眼科医院的投资和医院经营管理服务（不得从事吸收存款、集资收款、受托贷款、发行票据、发放贷款等国家金融监管及财政信用业务）；眼科医疗技术的研究，远程医疗软件的研发、生产、销售；眼科、内科、麻醉科、检验科、影视像科、验光配镜；三类医疗器械销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
cn_603259,药明康德,M73,科学研究和技术服务业,研究和试验发展,上海,无锡药明康德新药开发股份有限公司,2018/5/8 0:00,江苏,无锡市,Ge Li,江苏省无锡市滨湖区马山五号桥,www.wuxiapptec.com.cn,ir@wuxiapptec.com,021-20663091,小分子化学药的发现、研发及生产全方位、一体化平台服务。,开发研究及报批新药，医药中间体和精细化工产品（不含危险化学品）的研发；医药科技、生物技术、组合化学、有机化学、医疗科技、检测技术、计算机科技的技术开发、技术转让、技术服务和技术咨询；一类医疗器械、药品的批发，机械设备及零配件的销售；自营和代理各类商品及技术的进出口业务（国家限定企业经营或禁止进出口的商品和技术除外）；企业管理咨询、医药信息咨询、健康咨询（不含诊疗活动、心理咨询）；房屋租赁；会议及展览服务；利用自有资金对外投资。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
cn_603105,芯能科技,C38,制造业,电气机械和器材制造业,上海,浙江芯能光伏科技股份有限公司,2018/7/9 0:00,浙江,嘉兴市,张利忠,浙江省海宁市皮都路9号,www.sunorensolar.com,xnkj@sunorensolar.com,0573-87393016,分布式光伏解决方案提供、自持分布式光伏电站运营以及光伏产品制造。,许可项目：发电、输电、供电业务；电力设施承装、承修、承试；货物进出口（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。一般项目：太阳能发电技术服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；光伏设备及元器件制造；光伏设备及元器件销售；电子专用材料制造；电子专用材料销售；合同能源管理；软件开发；机动车充电销售；充电桩销售；集中式快速充电站；电动汽车充电基础设施运营；智能输配电及控制设备销售；新能源汽车换电设施销售；新能源汽车电附件销售；电池销售；资源再生利用技术研发；配电开关控制设备研发；智能控制系统集成（除依法须经批准的项目，凭营业执照依法自主开展经营活动）。
cn_000002,万科Ａ,K70,房地产业,房地产业,深圳,万科企业股份有限公司,1991/1/29 0:00,广东,深圳市,郁亮,广东省深圳市盐田区大梅沙环梅路33号万科中心,www.vanke.com,IR@vanke.com,0755-25606666,房地产、贸易及零售等。,房地产开发；兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；进出口业务（按深经发审证字第113号外贸企业审定证书规定办理）。
cn_002218,拓日新能,C38,制造业,电气机械和器材制造业,深圳,深圳市拓日新能源科技股份有限公司,2008/2/28 0:00,广东,深圳市,陈五奎,广东省深圳市南山区侨城北路香年广场【南区】主楼(A座）栋一座8层802-804号房,www.topraysolar.com、www.topraysolar.cn,gongyanping@topraysolar.com,0755-86612658,研发、生产及销售太阳电池芯片、太阳电池组件、太阳能供电电源、太阳能应用产品。,研发、生产及销售太阳电池芯片、太阳电池组件、太阳能供电电源、太阳能应用产品、太阳能集热板及热水器系统、风力发电设备、太阳电池生产线设备、太阳能控制器、太阳能逆变器、太阳能应用产品控制软件；设计、安装及销售太阳能热水器工程、风力发电工程、太阳能电站工程、运维及相关技术服务；经营进出口业务；房屋租赁业务；物业管理业务。
cn_601012,隆基股份,C38,制造业,电气机械和器材制造业,上海,隆基绿能科技股份有限公司,2012/4/11 0:00,陕西,西安市,李振国,陕西省西安市长安区航天中路388号,www.longigroup.com,longi-board@longigroup.com,029-81566863、029-86519912,单晶硅棒、硅片的研发、生产、销售,半导体材料、太阳能电池与组件、电子元器件、半导体设备的开发、制造和销售；商品进出口业务；光伏电站项目的开发及工程总承包；光伏电站系统运行维护；LED照明灯具、储能节能产品的销售、技术服务、售后服务；合同能源管理。（以上经营范围国家法律法规规定的专控及前置许可项目除外，国家法律法规另有规定的，从其规定）
cn_600036,招商银行,J66,金融业,货币金融服务,上海,招商银行股份有限公司,2002/4/9 0:00,广东,深圳市,缪建民,广东省深圳市福田区深南大道7088号,www.cmbchina.com,cmb@cmbchina.com,0755-83198888,经营吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据贴现；发行金融债券等。,吸收公众存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务。外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；结汇、售汇；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；买卖和代理买卖股票以外的外币有价证券；发行和代理发行股票以外的外币有价证券；自营和代客外汇买卖；资信调查、咨询、见证业务；离岸金融业务。经国务院银行业监督管理机构批准的其他业务。
cn_600309,万华化学,C26,制造业,化学原料和化学制品制造业,上海,万华化学集团股份有限公司,2001/1/5 0:00,山东,烟台市,廖增太,山东省烟台市开发区天山路17号,www.whchem.com,stocks@whchem.com,0535-3388000、3031588,聚氨酯及助剂、异氰酸酯及衍生产品的开发、生产、销售铁路专线运输、货物装卸、仓储和仓库租赁。,安全生产许可证范围内危险化学品的生产；食品添加剂的研发、生产和销售；许可证范围内铁路专用线经营；丙烷、正丁烷的带有存储设施的经营、仓储经营（以上经营项目有效期限以许可证为准）；聚氨酯及助剂、异氰酸酯及衍生产品的开发、技术服务及相关技术人员培训；批准范围内的自营进出口业务；化工产品（仅限化工园区内经营）（不含危险化学品）的研发、生产、销售及技术服务咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
cn_603899,晨光文具,C24,制造业,文教、工美、体育和娱乐用品制造业,上海,上海晨光文具股份有限公司,2015/1/27 0:00,上海,上海市,陈湖文,上海市奉贤区金钱公路3469号3号楼,www.mg-pen.com,ir@mg-pen.com,021-57475621,晨光品牌书写工具、学生文具、办公文具等产品的设计、研发、制造和销售。,许可项目：食品经营；包装装潢印刷品印刷；文件、资料等其他印刷品印刷；出版物经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：文具用品制造及销售，数码产品、安防设备、仪器仪表、劳防用品、家具、装饰品、化妆品、饰品、办公用品、工艺礼品（象牙及其制品除外）、橡塑制品、电子产品、家用电器、玩具、模具、五金交电、通讯器材、计算机软件及辅助设备、日用百货、纺织品、服装鞋帽、家居用品、体育用品及器材、消毒剂（不含危险化学品）、厨具卫具及日用杂品、日用化学产品、第一类医疗器械、第二类医疗器械、机械设备、办公设备及耗材、照相器材、音响设备、装饰材料、消防器材、酒店用品、玻璃制品、电力电子元器件、润滑油、水暖管道及配件、陶瓷管道及配件、汽车用品、卫生用品、母婴用品批发、零售，从事货物及技术的进出口业务，电子商务，企业管理咨询。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
cn_002032,苏泊尔,C33,制造业,金属制品业,深圳,浙江苏泊尔股份有限公司,2004/8/17 0:00,浙江,台州市,Thierry de La Tour d’Artaise,浙江省玉环市大麦屿经济开发区,www.supor.com.cn,002032@supor.com,0571-86858778,设计、生产、销售各种压力锅、铝制品炊具及小家电等，主要产品为压力锅、奶锅、汤锅、炒锅、蒸锅、真空保鲜锅、电水壶、电磁炉、电火锅、电饭煲、榨汁机等。,厨房用具、不锈钢制品、日用五金、小型家电及炊具的制造、销售；经营进出口业务（范围详见《中华人民共和国进出口企业资格证书》；技术开发；电器的安装维修服务。
cn_601668,中国建筑,E48,建筑业,土木工程建筑业,上海,中国建筑股份有限公司,2009/7/29 0:00,北京,北京市,周乃翔,北京市海淀区三里河路15号,www.cscec.com,ir@cscec.com,86-10-86498114,房屋建筑工程、房地产开发与投资、国际工程承包、基础设施建设与投资及设计勘察业务。,一般经营项目：承担国内外公用、民用房屋建筑工程的施工、安装、咨询；基础设施项目的投资与承建；国内外房地产投资与开发；建筑与基础设施建设的勘察与设计；装饰工程、园林工程的设计与施工；实业投资；承包境内外资工程；进出口业务；建筑材料及其他非金属矿物制品、建筑用金属制品、工具、建筑工程机械和钻探机械的生产与销售。
cn_000661,长春高新,C27,制造业,医药制造业,深圳,长春高新技术产业(集团)股份有限公司,1996/12/18 0:00,吉林,长春市,马骥,吉林省长春市同志街2400号火炬大厦5层,www.ccht.jl.cn,000661@ccht.jl.cn,0431-85666367,生物制药、中成药生产及房地产开发。,高新技术产品的开发、生产、销售及服务基础设施的开发建设、新药开发、技术转让、咨询服务；物业管理；高新成果转让及中介服务；商业供销业（国家有专项限制经营的商品除外）；餐饮、娱乐、旅馆（办时需许可）；培训；集中供热；产业投资（医药产业）（以上各项仅限分公司、子公司持证经营）。绿化景观工程设计、施工及维护、企业营销策划、广告策划、社会经济信息咨询、房地产中介服务、房屋销售代理（仅限分支机构持证经营）；企业管理咨询（以上各项国家法律法规禁止的不得经营；应经专项审批的项目未获得批准之前不得经营）
cn_000333,美的集团,C38,制造业,电气机械和器材制造业,深圳,美的集团股份有限公司,2013/9/18 0:00,广东,佛山市,方洪波,广东省佛山市顺德区北滘镇美的大道6号美的总部大楼B区26-28楼,www.midea.com,IR@midea.com,0757-26338888,以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流。,生产经营家用电器、电机及其零部件；中央空调、采暖设备、通风设备、热泵设备、照明设备、燃气设备、压缩机及相关通用设备、专用设备、家用空调设备及其零部件的研发、制造、销售、安装、维修及售后服务；从事家用电器、家电原材料及零配件的进出口、批发及加工业务（不设店铺，不涉及国营贸易管理商品，涉及配额、许可证管理商品的按国家规定办理）；信息技术服务；为企业提供投资顾问及管理服务；计算机软件、硬件开发；家电产品的安装、维修及售后服务；工业产品设计；酒店管理；广告代理；物业管理；企业所需的工程和技术研究、开发及其销售和推广；对金融业进行投资。（经营范围涉及行政许可的项目须凭有效许可证或批准证明经营）
